uuid,Wave,Section,Row,Age,Gender,Tenure,Ovr_Sat,Team_Sat,Comm_Sat,Comm_Freq,Benefit_Sat,Benefit_Aware
8727635c,2,187,U,45-54,Male,1 season,8,6,990,Just right,10 - Extremely satisfied,Aware and have used/received
039ec870,2,459,BB,55-64,Male,11-20 season,5,1 - Not at all satisfied,5,Too few,8,Aware and have NOT used/received
0285d1ef,2,452,X,65+,Female,21+ seasons,10 - Extremely satisfied,8,10 - Extremely satisfied,Just right,990,Unaware
9493589e,2,1,Z,45-54,Female,6-10 season,10 - Extremely satisfied,6,2,Just Right,990,Unaware
d7e0f721,2,410,E,55-64,Male,21+ seasons,5,4,9,Just right,8,Aware and have used/received
083379ce,2,69,Q,55-64,Male,1 season,9,9,3,Just Right,3,Aware and have NOT used/received
258dbc3a,2,512,OO,55-64,Male,21+ seasons,9,6,7,Too few,990,Unaware
60a17f41,2,27,A,55-64,Male,21+ seasons,5,1 - Not at all satisfied,4,Just Right,990,Unaware
b0c94e7a,2,190,I,35-44,Female,2-5 season,6,990,1 - Not at all satisfied,Just Right,990,Aware and have NOT used/received
e87ecef1,2,538,A,45-54,Male,21+ seasons,7,2,990,Just right,990,Aware and have NOT used/received
712ee8ad,2,515,KK,45-54,Male,11-15 season,6,10 - Extremely satisfied,1 - Not at all satisfied,Too Many,6,Aware and have NOT used/received
8d9aa14d,2,528,S,55-64,Female,2-5 season,8,7,8,Just right,990,Unaware
40fcbcef,2,332,FF,55-64,Male,21+ seasons,10 - Extremely satisfied,7,8,Just right,6,Aware and have NOT used/received
9974eb80,2,112,OO,45-54,Female,2-5 season,7,9,2,Too Few,5,Aware and have NOT used/received
53a33920,2,537,O,25-34,Female,16-20 season,9,7,6,Too Many,1 - Not at all satisfied,Aware and have used/received
3f432563,2,180,Y,65+,Female,2-5 season,4,9,8,Too Many,5,Aware and have NOT used/received
8b81a384,2,54,G,65+,Female,2-5 season,8,7,3,Just Right,6,Aware and have NOT used/received
7da5fcd0,2,283,DD,55-64,Male,21+ seasons,7,5,6,Just right,8,Aware and have NOT used/received
7f26b381,2,123,C,65+,Male,21+ seasons,10 - Extremely satisfied,8,9,Just right,990,Aware and have NOT used/received
4a0e4585,2,473,V,55-64,Male,2-5 season,10 - Extremely satisfied,10 - Extremely satisfied,10 - Extremely satisfied,Just right,5,Aware and have NOT used/received
14a5e7c2,2,338,NN,45-54,Female,11-15 season,8,1 - Not at all satisfied,7,Too Many,990,Unaware
57172493,2,114,OO,45-54,Female,2-5 season,9,2,10 - Extremely satisfied,Too Many,990,Unaware
589a50d7,2,269,Y,65+,Male,21+ seasons,8,4,10 - Extremely satisfied,Just right,10 - Extremely satisfied,Aware and have used/received
f97dedab,2,294,GG,65+,Male,21+ seasons,8,5,6,Just right,5,Aware and have NOT used/received
024e8d99,2,359,DD,65+,Male,21+ seasons,8,7,9,Just right,990,Aware and have NOT used/received
d6c1077a,2,73,I,55-64,Male,11-15 season,8,3,3,Just Right,990,Unaware
99e32168,2,50,G,45-54,Female,16-20 season,4,9,1 - Not at all satisfied,Too Few,3,Aware and have NOT used/received
4acf2819,2,121,R,35-44,Female,11-15 season,10 - Extremely satisfied,1 - Not at all satisfied,990,Just Right,990,Unaware
f9688bc4,2,541,J,35-44,Male,6-10 season,7,2,10 - Extremely satisfied,Too Many,990,Unaware
792864df,2,465,Y,45-54,Male,2-5 season,6,6,5,Just right,990,Unaware
444657ff,2,361,B,45-54,Prefer not to answer,21+ seasons,8,7,9,Just right,7,Aware and have NOT used/received
ebdeecb8,2,434,O,65+,Male,21+ seasons,5,7,2,Too few,990,Unaware
39bc1d2b,2,205,AA,45-54,Male,1 season,7,5,8,Just right,990,Unaware
0416a675,2,219,X,55-64,Male,21+ seasons,8,5,8,Just right,10 - Extremely satisfied,Aware and have used/received
faa04c59,2,224,C,55-64,Male,1 season,8,6,7,Just right,990,Aware and have NOT used/received
8030baf5,2,365,F,35-44,Male,2-5 season,8,6,10 - Extremely satisfied,Just right,10 - Extremely satisfied,Aware and have used/received
d2014748,2,336,D,35-44,Male,11-20 season,1 - Not at all satisfied,1 - Not at all satisfied,3,Too few,990,Unaware
fa71ff56,2,265,EE,65+,Male,21+ seasons,4,2,1 - Not at all satisfied,Too few,990,Unaware
