uuid,Wave,Section,Row,Age,Gender,Tenure,Ovr_Sat,Team_Sat,Comm_Sat,Comm_Freq,Benefit_Sat,Benefit_Aware
ca962bfc,1,446,D,45-54,Male,11-20 season,3,7,7,Too few,990,Unaware
b0b208b7,1,315,HH,45-54,Male,2-5 season,8,9,990,Too Many,990,Unaware
e54d351c,1,183,J,25-34,Female,6-10 season,7,3,7,Too Many,990,Unaware
c62eeb63,1,143,M,55-64,Female,6-10 season,9,7,6,Too Many,8,Aware and have NOT used/received
1815ec0f,1,373,H,45-54,Female,11-15 season,8,5,7,Just Right,990,Unaware
c4e9058c,1,114,F,45-54,Male,11-15 season,10 - Extremely satisfied,1 - Not at all satisfied,4,Too Many,990,Unaware
2dfe12e8,1,528,A,45-54,Female,2-5 season,6,7,6,Too Few,990,Unaware
f26bbe4b,1,93,P,65+,Male,21+ seasons,10 - Extremely satisfied,10 - Extremely satisfied,10 - Extremely satisfied,Just right,7,Aware and have NOT used/received
ecf3dc76,1,293,KK,55-64,Male,6-10 season,9,7,7,Just right,5,Aware and have NOT used/received
813ed71f,1,121,M,45-54,Male,2-5 season,9,10 - Extremely satisfied,10 - Extremely satisfied,Just right,9,Aware and have used/received
5bb78133,1,85,Q,Prefer not to answer,Prefer not to answer,21+ seasons,4,2,3,Too few,5,Aware and have NOT used/received
97325ddc,1,443,GG,55-64,Female,2-5 season,8,6,7,Just Right,990,Aware and have NOT used/received
b37baa11,1,45,D,55-64,Female,2-5 season,9,3,6,Too Few,8,Aware and have NOT used/received
5f1dc4f2,1,389,V,55-64,Male,11-20 season,5,2,4,Just right,990,Unaware
cbd1cc53,1,28,D,55-64,Male,6-10 season,10 - Extremely satisfied,3,3,Too Few,6,Aware and have NOT used/received
451424ca,1,434,C,65+,Female,11-20 season,8,7,9,Just right,990,Unaware
e63d7718,1,318,R,25-34,Male,16-20 season,5,1 - Not at all satisfied,9,Just Right,990,Unaware
0cc29f25,1,122,LL,65+,Male,21+ seasons,8,8,8,Just right,990,Aware and have NOT used/received
52bd7615,1,450,V,65+,Male,6-10 season,5,6,5,Too few,990,Unaware
95ce63a4,1,104,Q,65+,Male,2-5 season,9,8,3,Too Few,990,Aware and have NOT used/received
dcb01035,1,99,K,35-44,Female,2-5 season,10 - Extremely satisfied,3,3,Just Right,6,Aware and have NOT used/received
c9e5f4bf,1,312,LL,35-44,Female,2-5 season,6,6,10 - Extremely satisfied,Just Right,990,Unaware
5ecb978d,1,489,C,65+,Male,21+ seasons,1 - Not at all satisfied,7,2,Too few,990,Unaware
def9bc84,1,121,V,35-44,Male,2-5 season,7,4,7,Too Many,990,Unaware
a65b0834,1,40,V,55-64,Male,21+ seasons,6,3,2,Too few,990,Unaware
ab965586,1,174,T,55-64,Female,11-20 season,8,9,8,Just right,6,Aware and have NOT used/received
60158c09,1,506,U,65+,Male,21+ seasons,8,7,7,Just right,10 - Extremely satisfied,Aware and have NOT used/received
4198b7f8,1,6,M,45-54,Male,2-5 season,2,8,6,Too Many,990,Unaware
e0afa614,1,429,P,55-64,Male,21+ seasons,8,6,7,Just right,990,Unaware
f4b27464,1,531,C,55-64,Male,6-10 season,5,990,4,Too few,990,Unaware
0c04ac72,1,14,G,45-54,Male,6-10 season,9,7,9,Just right,9,Aware and have NOT used/received
7180cdba,1,66,U,55-64,Male,21+ seasons,8,7,990,Too few,990,Aware and have NOT used/received
98135103,1,15,B,45-54,Male,11-20 season,5,1 - Not at all satisfied,8,Just right,10 - Extremely satisfied,Aware and have NOT used/received
5a1cf6ab,1,418,T,65+,Male,21+ seasons,8,8,8,Just right,990,Aware and have NOT used/received
7d6c723d,1,475,R,65+,Male,21+ seasons,3,2,1 - Not at all satisfied,Too few,4,Aware and have NOT used/received
ad24cb3e,1,244,G,65+,Male,21+ seasons,6,3,6,Just right,7,Aware and have NOT used/received
c5a98705,1,491,R,25-34,Male,2-5 season,7,1 - Not at all satisfied,1 - Not at all satisfied,Too Many,990,Aware and have NOT used/received
134dfa0d,1,417,K,55-64,Female,21+ seasons,10 - Extremely satisfied,10 - Extremely satisfied,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
c597561b,1,512,OO,35-44,Female,2-5 season,1 - Not at all satisfied,10 - Extremely satisfied,4,Too Many,10 - Extremely satisfied,Aware and have used/received
1d2f3f6f,1,222,B,35-44,Male,2-5 season,7,7,8,Just right,990,Unaware
391b20e5,1,250,O,55-64,Female,21+ seasons,3,9,9,Just right,990,Unaware
d7c0dde8,1,401,H,55-64,Male,16-20 season,7,7,2,Just Right,5,Aware and have used/received
2d864063,1,374,P,35-44,Female,2-5 season,6,3,4,Just Right,990,Aware and have NOT used/received
81d592dc,1,381,I,35-44,Male,2-5 season,10 - Extremely satisfied,10 - Extremely satisfied,7,Too Few,10 - Extremely satisfied,Aware and have NOT used/received
b85b4b80,1,312,DD,65+,Male,21+ seasons,9,8,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
2b867b2a,1,287,J,55-64,Male,11-20 season,8,5,7,Just right,6,Aware and have NOT used/received
ed743212,1,149,F,45-54,Male,6-10 season,10 - Extremely satisfied,10 - Extremely satisfied,9,Too Few,10 - Extremely satisfied,Aware and have used/received
b5961493,1,510,L,55-64,Male,6-10 season,10 - Extremely satisfied,6,10 - Extremely satisfied,Just right,5,Aware and have used/received
e9c21c8c,1,38,V,55-64,Male,21+ seasons,5,10 - Extremely satisfied,8,Just right,990,Aware and have NOT used/received
de641e33,1,173,O,35-44,Male,1 season,9,5,5,Just Right,3,Aware and have NOT used/received
9d3b168c,1,353,DD,55-64,Male,21+ seasons,7,6,8,Just right,990,Unaware
36e5718b,1,104,B,55-64,Female,2-5 season,9,6,1 - Not at all satisfied,Just Right,990,Aware and have NOT used/received
32783aaa,1,98,T,55-64,Male,21+ seasons,6,9,8,Too Few,990,Unaware
f05275f0,1,364,X,35-44,Male,2-5 season,10 - Extremely satisfied,7,8,Just right,990,Aware and have NOT used/received
b98caff0,1,252,AA,55-64,Male,11-20 season,7,8,10 - Extremely satisfied,Just right,7,Aware and have NOT used/received
49b2cbe0,1,474,T,45-54,Male,2-5 season,5,10 - Extremely satisfied,4,Just Right,990,Unaware
d6b7f4f7,1,494,HH,65+,Female,11-15 season,9,6,3,Too Few,990,Unaware
61880495,1,174,MM,25-34,Female,6-10 season,6,2,9,Too Many,10 - Extremely satisfied,Aware and have NOT used/received
88656add,1,121,K,45-54,Female,16-20 season,8,2,8,Too Few,7,Aware and have NOT used/received
8e4a5280,1,254,C,45-54,Male,21+ seasons,8,8,10 - Extremely satisfied,Just right,990,Unaware
6c41dbee,1,532,O,55-64,Female,16-20 season,5,9,8,Too Few,990,Aware and have NOT used/received
cc023e8e,1,348,Y,45-54,Male,1 season,4,4,7,Just Right,6,Aware and have NOT used/received
8a9ebf79,1,200,S,55-64,Male,11-15 season,10 - Extremely satisfied,7,1 - Not at all satisfied,Too Many,990,Unaware
a1216d18,1,172,II,45-54,Female,11-15 season,9,2,990,Too Many,990,Unaware
e5a97221,1,16,W,45-54,Male,2-5 season,8,9,1 - Not at all satisfied,Too Few,4,Aware and have NOT used/received
3a4ced83,1,312,EE,65+,Male,21+ seasons,7,6,4,Too many,1 - Not at all satisfied,Aware and have used/received
3690e63f,1,398,KK,65+,Female,21+ seasons,10 - Extremely satisfied,8,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
9e2a7b02,1,276,H,65+,Female,21+ seasons,8,7,990,Just right,8,Aware and have NOT used/received
fbb4fdd8,1,199,M,65+,Female,16-20 season,9,8,4,Just Right,990,Aware and have NOT used/received
02ce932e,1,464,H,55-64,Male,2-5 season,6,3,4,Too Many,990,Unaware
dcda9cf5,1,471,OO,65+,Male,21+ seasons,7,990,990,Just right,990,Unaware
e9d10596,1,127,Y,55-64,Female,11-20 season,8,8,990,Too few,990,Unaware
51d5e1ac,1,397,R,45-54,Female,6-10 season,10 - Extremely satisfied,7,4,Just Right,3,Aware and have NOT used/received
f8ccaab3,1,1,C,45-54,Male,6-10 season,6,8,4,Just Right,8,Aware and have NOT used/received
d8e62cde,1,248,KK,35-44,Female,2-5 season,9,5,6,Just Right,990,Unaware
a3d3f7b1,1,380,H,55-64,Male,21+ seasons,7,7,7,Too many,990,Unaware
458fb165,1,455,HH,55-64,Male,2-5 season,9,6,8,Just right,990,Aware and have used/received
c41804ad,1,248,E,65+,Female,16-20 season,8,2,4,Just Right,6,Aware and have NOT used/received
9fc71f59,1,280,MM,65+,Male,21+ seasons,5,5,8,Just right,990,Unaware
780ee986,1,206,O,45-54,Male,16-20 season,7,4,10 - Extremely satisfied,Too Many,990,Unaware
29deb0be,1,46,Q,35-44,Male,2-5 season,10 - Extremely satisfied,8,6,Just Right,5,Aware and have NOT used/received
d4c5a779,1,253,L,55-64,Male,21+ seasons,8,4,5,Just right,990,Unaware
4ca9059a,1,505,N,35-44,Female,2-5 season,9,6,8,Just right,990,Unaware
c14d3f3f,1,478,C,55-64,Male,2-5 season,10 - Extremely satisfied,8,9,Just right,990,Unaware
b4c7ef8b,1,204,J,45-54,Male,21+ seasons,6,8,6,Too many,8,Aware and have NOT used/received
e4770b7b,1,119,J,65+,Male,21+ seasons,9,8,9,Just right,10 - Extremely satisfied,Aware and have used/received
3123ee1f,1,346,U,55-64,Male,2-5 season,8,4,9,Just right,6,Aware and have NOT used/received
6f088508,1,191,EE,55-64,Male,11-15 season,9,9,5,Just Right,990,Unaware
a7090298,1,107,P,45-54,Male,6-10 season,10 - Extremely satisfied,7,9,Just right,990,Aware and have used/received
774f0351,1,345,JJ,55-64,Male,21+ seasons,6,1 - Not at all satisfied,5,Too few,990,Unaware
655eb434,1,512,O,65+,Male,2-5 season,9,5,9,Just right,990,Unaware
175139aa,1,128,A,45-54,Male,1 season,9,5,3,Too Many,990,Aware and have NOT used/received
3abd13e0,1,531,EE,65+,Male,21+ seasons,7,6,7,Too few,990,Unaware
4f5fbb9c,1,107,X,65+,Male,2-5 season,10 - Extremely satisfied,8,990,Just right,990,Unaware
4cf4bfe2,1,21,O,55-64,Female,6-10 season,9,9,3,Too Many,990,Unaware
df9b70f0,1,72,Z,55-64,Female,6-10 season,10 - Extremely satisfied,2,10 - Extremely satisfied,Too Few,6,Aware and have NOT used/received
5f571660,1,425,OO,55-64,Female,2-5 season,7,7,990,Just right,990,Unaware
asdvk00n,1,123,Z,65+,Male,2-5 season,1 - Not at all satisfied,1 - Not at all satisfied,1,Too Many,990,Unaware
668130f7,1,419,MM,65+,Male,21+ seasons,5,2,3,Just right,990,Unaware
f080eb19,1,463,T,65+,Female,6-10 season,10 - Extremely satisfied,5,990,Too Few,990,Unaware
bc8f13fc,1,172,LL,55-64,Male,16-20 season,5,10 - Extremely satisfied,10 - Extremely satisfied,Too Few,990,Unaware
6e248b39,1,169,BB,65+,Male,21+ seasons,8,7,1 - Not at all satisfied,Too few,990,Unaware
8e240ea4,1,302,I,35-44,Female,11-15 season,8,4,10 - Extremely satisfied,Too Many,990,Unaware
e44091e3,1,356,Q,65+,Male,11-20 season,7,7,7,Just right,7,Aware and have NOT used/received
edabee43,1,308,II,65+,Male,6-10 season,5,6,2,Just Right,990,Unaware
00e4ff92,1,219,LL,65+,Male,11-20 season,8,7,6,Just right,5,Aware and have NOT used/received
ed78aa9b,1,197,AA,45-54,Male,1 season,10 - Extremely satisfied,9,4,Just Right,5,Aware and have NOT used/received
603fbf2b,1,406,JJ,55-64,Male,21+ seasons,7,8,9,Just right,990,Unaware
b114731d,1,532,Q,55-64,Female,2-5 season,8,7,9,Just Right,990,Unaware
f4020ef3,1,130,G,35-44,Male,2-5 season,6,1 - Not at all satisfied,2,Too Few,10 - Extremely satisfied,Aware and have NOT used/received
dae95ecc,1,413,C,45-54,Female,11-15 season,9,6,3,Too Few,990,Unaware
af202cae,1,79,D,55-64,Female,6-10 season,8,5,8,Just right,990,Unaware
93d5ee46,1,489,AA,65+,Female,21+ seasons,7,6,5,Too few,6,Aware and have NOT used/received
c579993f,1,262,KK,35-44,Male,16-20 season,8,3,6,Too Many,10 - Extremely satisfied,Aware and have used/received
fa5eb909,1,516,JJ,45-54,Female,21+ seasons,5,7,3,Too Few,990,Unaware
05ffafc3,1,420,D,65+,Female,1 season,10 - Extremely satisfied,9,990,Too Many,990,Unaware
e4144ad8,1,137,B,65+,Male,6-10 season,7,3,8,Just Right,990,Unaware
fcad3b2c,1,253,GG,45-54,Male,11-15 season,9,9,990,Just Right,990,Unaware
d742cb14,1,14,J,Prefer not to answer,Male,21+ seasons,8,8,9,Just right,990,Unaware
53aecfae,1,317,C,45-54,Male,11-15 season,7,2,2,Too Few,990,Unaware
10187c16,1,7,Z,55-64,Male,21+ seasons,10 - Extremely satisfied,6,8,Just right,990,Unaware
b70e8bc6,1,465,P,45-54,Female,21+ seasons,7,4,6,Too few,990,Unaware
5f4684fe,1,441,N,55-64,Prefer not to answer,11-20 season,5,4,6,Just right,990,Unaware
d5ce1235,1,517,JJ,35-44,Male,2-5 season,8,5,4,Just right,990,Unaware
