,uuid,Wave,Section,Row,Age,Gender,Tenure,Ovr_Sat,Team_Sat,Comm_Sat,Comm_Freq,Benefit_Aware
0,8727635c,2,187,U,45-54,Male,1 season,8,6,7,Just Right,Aware and have used/received
1,039ec870,2,459,BB,55-64,Male,11-20 season,5,1,5,Too Few,Aware and have NOT used/received
2,0285d1ef,2,452,X,65+,Female,21+ seasons,10,8,10,Just Right,Unaware
3,9493589e,2,1,Z,45-54,Female,6-10 season,10,6,2,Just Right,Unaware
4,d7e0f721,2,410,E,55-64,Male,21+ seasons,5,4,9,Just Right,Aware and have used/received
5,083379ce,2,69,Q,55-64,Male,1 season,9,9,3,Just Right,Aware and have NOT used/received
6,258dbc3a,2,512,OO,55-64,Male,21+ seasons,9,6,7,Too Few,Unaware
7,60a17f41,2,27,A,55-64,Male,21+ seasons,5,1,4,Just Right,Unaware
8,b0c94e7a,2,190,I,35-44,Female,2-5 season,6,5,1,Just Right,Aware and have NOT used/received
9,e87ecef1,2,538,A,45-54,Male,21+ seasons,7,2,7,Just Right,Aware and have NOT used/received
10,712ee8ad,2,515,KK,45-54,Male,11-15 season,6,10,1,Too Many,Aware and have NOT used/received
11,8d9aa14d,2,528,S,55-64,Female,2-5 season,8,7,8,Just Right,Unaware
12,40fcbcef,2,332,FF,55-64,Male,21+ seasons,10,7,8,Just Right,Aware and have NOT used/received
13,9974eb80,2,112,OO,45-54,Female,2-5 season,7,9,2,Too Few,Aware and have NOT used/received
14,53a33920,2,537,O,25-34,Female,16-20 season,9,7,6,Too Many,Aware and have used/received
15,3f432563,2,180,Y,65+,Female,2-5 season,4,9,8,Too Many,Aware and have NOT used/received
16,8b81a384,2,54,G,65+,Female,2-5 season,8,7,3,Just Right,Aware and have NOT used/received
17,7da5fcd0,2,283,DD,55-64,Male,21+ seasons,7,5,6,Just Right,Aware and have NOT used/received
18,7f26b381,2,123,C,65+,Male,21+ seasons,10,8,9,Just Right,Aware and have NOT used/received
19,4a0e4585,2,473,V,55-64,Male,2-5 season,10,10,10,Just Right,Aware and have NOT used/received
20,14a5e7c2,2,338,NN,45-54,Female,11-15 season,8,1,7,Too Many,Unaware
21,57172493,2,114,OO,45-54,Female,2-5 season,9,2,10,Too Many,Unaware
22,589a50d7,2,269,Y,65+,Male,21+ seasons,8,4,10,Just Right,Aware and have used/received
23,f97dedab,2,294,GG,65+,Male,21+ seasons,8,5,6,Just Right,Aware and have NOT used/received
24,024e8d99,2,359,DD,65+,Male,21+ seasons,8,7,9,Just Right,Aware and have NOT used/received
25,d6c1077a,2,73,I,55-64,Male,11-15 season,8,3,3,Just Right,Unaware
26,99e32168,2,50,G,45-54,Female,16-20 season,4,9,1,Too Few,Aware and have NOT used/received
27,4acf2819,2,121,R,35-44,Female,11-15 season,10,1,7,Just Right,Unaware
28,f9688bc4,2,541,J,35-44,Male,6-10 season,7,2,10,Too Many,Unaware
29,792864df,2,465,Y,45-54,Male,2-5 season,6,6,5,Just Right,Unaware
30,444657ff,2,361,B,45-54,Prefer not to answer,21+ seasons,8,7,9,Just Right,Aware and have NOT used/received
31,ebdeecb8,2,434,O,65+,Male,21+ seasons,5,7,2,Too Few,Unaware
32,39bc1d2b,2,205,AA,45-54,Male,1 season,7,5,8,Just Right,Unaware
33,0416a675,2,219,X,55-64,Male,21+ seasons,8,5,8,Just Right,Aware and have used/received
34,faa04c59,2,224,C,55-64,Male,1 season,8,6,7,Just Right,Aware and have NOT used/received
35,8030baf5,2,365,F,35-44,Male,2-5 season,8,6,10,Just Right,Aware and have used/received
36,d2014748,2,336,D,35-44,Male,11-20 season,1,1,3,Too Few,Unaware
37,fa71ff56,2,265,EE,65+,Male,21+ seasons,4,2,1,Too Few,Unaware
38,454f820f,2,463,L,45-54,Male,2-5 season,10,8,9,Just Right,Unaware
39,0fffe083,2,508,M,35-44,Female,11-15 season,7,4,7,Too Many,Unaware
40,d1c86639,2,10,D,65+,Male,21+ seasons,6,1,7,Just Right,Aware and have NOT used/received
41,c53c4fd5,2,455,A,45-54,Female,16-20 season,7,5,2,Too Many,Unaware
42,744a2845,2,332,P,65+,Male,21+ seasons,8,5,7,Too Few,Aware and have NOT used/received
43,4eeb9d19,2,282,X,65+,Female,1 season,9,8,9,Just Right,Aware and have NOT used/received
44,55709935,2,129,II,65+,Male,11-20 season,3,2,5,Too Few,Unaware
45,fad52170,2,498,L,25-34,Female,21+ seasons,7,3,6,Too Many,Unaware
46,4441c2f9,2,503,S,25-34,Female,16-20 season,10,1,5,Too Few,Aware and have NOT used/received
47,bbb6a9f9,2,407,B,65+,Male,21+ seasons,9,6,10,Just Right,Unaware
48,8067b2da,2,32,V,55-64,Male,6-10 season,9,3,4,Too Many,Aware and have NOT used/received
49,80e3e135,2,248,I,35-44,Male,2-5 season,8,4,7,Just Right,Aware and have NOT used/received
50,ba99e870,2,251,L,55-64,Male,11-20 season,9,7,9,Just Right,Aware and have NOT used/received
51,4120c697,2,254,T,65+,Female,1 season,5,6,7,Just Right,Unaware
52,14a3fba8,2,295,L,55-64,Female,2-5 season,6,2,6,Just Right,Aware and have used/received
53,cb0e0e49,2,103,MM,55-64,Male,2-5 season,10,7,10,Just Right,Unaware
54,ce6484cc,2,172,A,45-54,Male,11-15 season,9,3,2,Too Few,Unaware
55,1146777c,2,60,W,55-64,Female,16-20 season,9,5,6,Too Many,Aware and have used/received
